,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP43_115_X4Y8_1,1.2307580303153708e-05,0.15723935867034425,6.231781414712821e-07,0.12839030873365348,0.00021362548524958558,1.1757048102527512e-11,0.714143776340551
BaselTMA_SP43_115_X4Y8_2,1.7585637472798027e-05,0.15014721126745445,5.867312910061988e-07,0.10156109112808441,0.007387108415496009,6.282085831799023e-11,0.7408864167573804
BaselTMA_SP43_115_X4Y8_3,4.95220165697208e-05,0.17640058239562592,8.17361860459643e-05,0.11488221744992777,0.012568262809871097,1.724813363496261e-05,0.6960004310083245
BaselTMA_SP43_115_X4Y8_4,7.276819567945382e-05,0.165401346057156,2.2418804900498766e-07,0.12216207550635501,0.000879037241836722,3.169280631092797e-11,0.7114845487792311
BaselTMA_SP43_115_X4Y8_5,3.5284037317051965e-05,0.21404826766344115,6.707365404782779e-06,0.23809163589188656,0.0005107836175114097,6.174467567143286e-11,0.5473073213626943
BaselTMA_SP43_115_X4Y8_6,5.5886425419120506e-06,0.02806300470628608,7.505711908482556e-08,0.012657158094199233,0.8751130553155106,9.024364285733972e-09,0.08416110915997888
BaselTMA_SP43_115_X4Y8_7,0.0006565108296074953,0.20380933548965832,2.0679913545702908e-07,0.1564925622147234,1.0382673409933876e-05,1.2144869369294585e-12,0.6390310019922508
BaselTMA_SP43_115_X4Y8_8,3.877437216777719e-05,0.18728234164470503,5.301352193328777e-08,0.13276170602976697,1.6787385369236756e-06,1.3473375182943966e-14,0.679915446201288
BaselTMA_SP43_115_X4Y8_9,8.726129109109836e-05,0.0014168432082988013,0.9965276707748872,0.0016439167930181607,2.9172743190890642e-05,2.1956668606444166e-14,0.00029513518949209175
BaselTMA_SP43_115_X4Y8_10,0.030220626009389445,0.009322358785927147,0.9479332677194606,0.007639472836966492,0.0001372779002845776,3.005282178365562e-11,0.004746996717918744
BaselTMA_SP43_115_X4Y8_11,0.0004493715608753519,0.0004142500967423246,0.9985987042832741,0.0002331036273609023,1.2417750045297528e-05,3.9100076654998673e-13,0.0002921526813108702
BaselTMA_SP43_115_X4Y8_12,0.04789696128615512,0.24146756305947675,0.10796348194291801,0.20661719620876803,0.05651396277077799,9.374242959917697e-08,0.3395407409894745
BaselTMA_SP43_115_X4Y8_13,1.2376566512171267e-06,0.0007217643919806086,3.3338383844213093e-10,0.00024276619603298422,0.9979579627926711,6.469151278560309e-07,0.001075621714152367
BaselTMA_SP43_115_X4Y8_14,7.700709503156177e-06,0.006045801945120277,8.068720843575095e-08,0.0025108005414568547,0.9792480330105724,6.344065058216707e-07,0.012186948699633071
BaselTMA_SP43_115_X4Y8_15,5.767575806625532e-08,1.737062818589578e-05,1.8043370733258036e-08,2.9735019472634933e-06,0.9999342828315427,3.299227457800583e-05,1.2305044617101023e-05
BaselTMA_SP43_115_X4Y8_16,9.471725033095503e-06,9.155381965188315e-05,3.5154515108482304e-06,2.0706193542646073e-05,0.9425910160568611,0.057157978712780576,0.00012575804061985195
BaselTMA_SP43_115_X4Y8_17,1.0909503336359785e-07,1.546355762226328e-06,2.223302102456442e-09,2.3713721273128517e-07,0.06453939447465579,0.9354576891594558,1.0215545779813893e-06
BaselTMA_SP43_115_X4Y8_18,2.606738775782393e-06,0.0059079740324552,0.04593780265473458,0.002373280181768744,0.9388039587682062,5.784767129893787e-08,0.006974319776388249
BaselTMA_SP43_115_X4Y8_19,5.780170192956278e-07,0.00019087096094570278,8.542388229462867e-11,5.733107639918701e-05,0.9995528796344549,3.445083284950124e-06,0.00019489514247200516
BaselTMA_SP43_115_X4Y8_20,5.4619969777098964e-08,3.651407247162589e-07,1.2816968818824831e-09,4.0669058078600525e-08,0.46788430424481614,0.5321150277100358,2.063336983803707e-07
BaselTMA_SP43_115_X4Y8_21,1.7144782820239124e-06,3.037328055765378e-05,5.372283647179635e-09,6.052856672861685e-06,0.4804861034420109,0.5194511594633597,2.459110683328493e-05
BaselTMA_SP43_115_X4Y8_22,4.757489955503541e-05,0.07251752572831094,0.00027330015877066575,0.038441289277043954,0.7657231795296421,5.875777254947604e-06,0.1229912546294223
BaselTMA_SP43_115_X4Y8_23,4.6860750238391816e-07,0.0001955838163483254,2.2601592410207748e-08,6.256308858768741e-05,0.9994374583285612,1.786687827521858e-08,0.0003038856905295781
BaselTMA_SP43_115_X4Y8_24,4.500494726292581e-09,2.5642264302890253e-06,2.0452560572397293e-11,4.2932153366741107e-07,0.9999949031879041,1.7089082029566917e-08,2.081654102633617e-06
BaselTMA_SP43_115_X4Y8_25,6.640162684744434e-08,1.4156803866954139e-05,3.496241154085375e-11,2.1318909805195905e-06,0.9999311873437076,3.367235851636447e-05,1.8785166339129168e-05
BaselTMA_SP43_115_X4Y8_26,1.0270269546401763e-06,0.009646155465088426,3.8078035205751436e-08,0.004109934028234522,0.9692142753312908,1.7046543225499382e-09,0.017028568365742115
BaselTMA_SP43_115_X4Y8_27,0.008057345213363392,0.320004482446026,0.0017991014952716284,0.2545080436603254,6.44213622673272e-05,3.523662455693947e-12,0.41556660581922256
BaselTMA_SP43_115_X4Y8_28,0.000672251932911043,0.25782365382582384,5.7684321672508575e-05,0.17335055585453957,9.15587720170843e-06,1.4289552282185088e-13,0.5680866981877083
BaselTMA_SP43_115_X4Y8_29,0.00020078269985546543,0.24463867336353348,9.970132477303005e-08,0.19087702955713606,4.257485600721207e-05,1.017472596388585e-13,0.5642408398220412
BaselTMA_SP43_115_X4Y8_30,0.41265100376325714,0.11200880582304923,4.0451248993974985e-07,0.07462025245618369,8.041140551169605e-05,4.9590693685742155e-09,0.4006391170804388
BaselTMA_SP43_115_X4Y8_31,0.00021619467890838652,0.17807218087603532,0.00020099339219772748,0.16744971359519592,0.342388753540666,3.094977496175544e-09,0.31167216082201904
BaselTMA_SP43_115_X4Y8_32,4.2073483684172534e-07,0.00021154550816595625,2.5944060319749266e-09,5.7151518774659836e-05,0.9994169819965285,3.7697214532563035e-07,0.00031352067514268353
BaselTMA_SP43_115_X4Y8_33,2.806359383168087e-05,0.002295058138343511,3.4334306713256607e-07,0.0009510521693651082,0.9922390366558268,3.5267993801679065e-05,0.004451178105763956
