,RTK_signalling,proliferation,mTOR_signalling,apoptosis
BaselTMA_SP41_186_X5Y4_3679,-0.3681131942216142,0.5141407593180919,0.09802381766880391,-0.10367242118861601
BaselTMA_SP41_153_X7Y5_246,-0.3514723984822022,0.07330987372974418,0.05905841914750254,0.24276076283503867
BaselTMA_SP41_20_X12Y5_197,-0.18262709447305098,0.3395050200530292,0.2827074518247569,-0.0030164632247493134
BaselTMA_SP41_14_X1Y8_84,-0.23549501379541304,0.40906944899828834,0.25852798762948725,-0.04341185931145315
BaselTMA_SP41_166_X15Y4_266,-0.18858718331455704,0.3439780748221643,0.2816492409469371,-0.011168829463422417
BaselTMA_SP41_117_X13Y3_4413,-0.2041935959933448,0.3284338993570657,0.27329758720523867,-0.0679887415241139
BaselTMA_SP41_133_X3Y6_1249,-0.20551108810848623,0.29502430103522015,0.261358421428361,0.031841711764900554
BaselTMA_SP41_206_X2Y2_140,-0.1820619458424223,0.33908087523829095,0.2828077936895209,-0.0022434380671234044
BaselTMA_SP41_112_X5Y8_690,-0.2033091650907225,0.3571180526370984,0.28038401073678204,-0.027768216060640463
BaselTMA_SP41_134_X3Y8_449,-0.18748748631190754,0.3431527507283272,0.281844491615418,-0.009664634986531973
BaselTMA_SP41_133_X3Y6_1318,-0.24675134372583396,0.4243293884521666,0.2272784562912716,-0.061281821084079216
BaselTMA_SP41_117_X13Y3_2100,-0.3643648828151843,0.43090816336534976,0.1498658052583221,-0.032434755808444335
BaselTMA_SP41_211_X4Y6_2201,-0.2307506895706975,0.38875159559958333,0.2729520006929189,-0.051433204546402364
BaselTMA_SP41_203_X8Y8_1760,-0.18907791198369242,0.34434636735474217,0.28156211231017575,-0.01184006104083582
BaselTMA_SP41_141_X11Y2_5273,-0.21526364169244594,0.3383198969216547,0.19570349013264665,0.0662552540122762
BaselTMA_SP41_14_X1Y8_930,-0.322980699287644,0.4104783694583438,0.16085545927183137,0.08463232696039337
BaselTMA_SP41_191_X15Y7_1306,-0.251604048538997,0.44543367634227826,0.2618443443196693,-0.029195728213436453
BaselTMA_SP41_186_X5Y4_1592,-0.2591247898382966,0.3964443858454052,0.2184095139509442,-0.04339143408561923
BaselTMA_SP41_141_X11Y2_5215,-0.17189825047678214,0.33145300806444766,0.28461235286318065,0.011658731709605241
BaselTMA_SP41_206_X1Y2_1390,-0.2233207314456372,0.3701122380234572,0.28282212535027373,-0.053952429822604606
BaselTMA_SP41_133_X3Y6_2298,-0.20979425343663197,0.3677097409401378,0.2787423588919919,-0.029242576225983904
BaselTMA_SP41_134_X3Y8_1196,-0.26230555371618114,0.4461370476691532,0.23025867314102422,-0.047709491584019534
BaselTMA_SP41_11_X13Y7_3460,-0.17099830181958503,0.3307775953751235,0.28477213830998355,0.012889705147178881
BaselTMA_SP41_117_X13Y3_660,-0.3137488766434673,0.4270339223276661,0.19608362757982706,-0.03213530315898673
BaselTMA_SP41_159_X12Y4_2161,-0.15172254005681443,0.3025049326740988,0.2736066835563134,0.015802239185198394
BaselTMA_SP41_134_X3Y8_176,-0.1753813263288372,0.32860646081824163,0.27822416520025633,-0.0023817518568073903
BaselTMA_SP41_204_X16Y4_237_233,-0.23508061163730598,0.42475343405482147,0.17667836667948322,-0.05584920522370941
BaselTMA_SP41_11_X13Y7_3290,-0.20945217003055294,0.3620329317189268,0.2881028967298444,-0.03074711794822306
BaselTMA_SP41_204_X16Y4_237_8,-0.3142189743375789,0.3584375446661293,0.10936994336582037,0.01794825788042552
BaselTMA_SP41_134_X3Y8_234,-0.41942083156274584,0.51879196571284,0.05414221967075414,-0.11488232184043222
BaselTMA_SP41_11_X13Y7_1243,-0.27614666613539685,0.349392620954421,0.18247023172835175,0.06288745260189307
