,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP41_186_X5Y4_3679,0.18120455343615458,0.1448348512988478,0.21926516167096868,0.3130264838978725,0.012777327190405629,0.029225949289471646,0.09966567321627925
BaselTMA_SP41_153_X7Y5_246,0.007341818762203506,0.02627340228501737,0.014865528219738326,0.011549474086721575,0.08377292822149467,0.8420765481309488,0.014120300293875692
BaselTMA_SP41_20_X12Y5_197,0.1735073208906442,0.14077349344966503,0.21345665885707857,0.34401761226307925,0.012248638644251483,0.014559481201122708,0.10143679469415878
BaselTMA_SP41_14_X1Y8_84,0.13870679089241203,0.13016981816766846,0.1434404036618906,0.12903436044254601,0.11807520477935368,0.24019730789578914,0.10037611416034017
BaselTMA_SP41_166_X15Y4_266,0.19057051018172447,0.16888719964402021,0.20050662603356806,0.3328912999661946,0.010737046313149331,0.017546880711709407,0.07886043714963394
BaselTMA_SP41_117_X13Y3_4413,0.007503721570239173,0.031165432636621113,0.021873168867101157,0.014956890941797571,0.13973650922756922,0.7653956952388657,0.019368581517805915
BaselTMA_SP41_133_X3Y6_1249,0.034141784770881985,0.05945004042994808,0.08243405291620735,0.012543425919056706,0.7634779245701399,0.019562444073863396,0.028390327319902653
BaselTMA_SP41_206_X2Y2_140,0.15972971640073316,0.14733377054655325,0.22660982161089793,0.30895163756105,0.02802354329818612,0.017943898055639076,0.11140761252694055
BaselTMA_SP41_112_X5Y8_690,0.029398828271827444,0.06930545706993534,0.08482248445484611,0.07054870897341038,0.2972514102936085,0.3894683393397278,0.05920477159664442
BaselTMA_SP41_134_X3Y8_449,0.19264004540030266,0.13462525348295437,0.18834689655606604,0.3544602063839031,0.015122794044827003,0.015988525985523333,0.09881627814642348
BaselTMA_SP41_133_X3Y6_1318,0.006859776418276102,0.016212410098536006,0.011985306274811031,0.0040627070800778615,0.9344819867685226,0.01746835894529533,0.008929454414481083
BaselTMA_SP41_117_X13Y3_2100,0.003191953581814414,0.016664700816390786,0.008343850099054294,0.004668057069600151,0.05772705401882602,0.901434279186336,0.007970105227978249
BaselTMA_SP41_211_X4Y6_2201,0.0018335620920315748,0.011018571084854979,0.005226261662934516,0.0028734782559830282,0.05405969659850265,0.9193338644192154,0.005654565886477862
BaselTMA_SP41_203_X8Y8_1760,0.05027889534022821,0.08834041658407225,0.11014754210375098,0.06661077010715992,0.16905780794255051,0.454651870698054,0.06091269722418395
BaselTMA_SP41_141_X11Y2_5273,0.15047013878936596,0.08689007418898145,0.14567446504097623,0.5274191031996606,0.006755752376340778,0.012272720899205856,0.07051774550546909
BaselTMA_SP41_14_X1Y8_930,0.00030312337315913557,0.0034126933265793257,0.001234213327702696,0.0006199385654630446,0.026138980122288248,0.9669115815153286,0.0013794697694788464
BaselTMA_SP41_191_X15Y7_1306,0.08856217526701018,0.10572815184885562,0.25642784970134863,0.18177658778215433,0.1481667986339335,0.08441806999275633,0.1349203667739415
BaselTMA_SP41_186_X5Y4_1592,0.11235236189444613,0.12167649176604821,0.30109228725448944,0.10878339896572196,0.13224673092220754,0.10870797900768336,0.11514075018940334
BaselTMA_SP41_141_X11Y2_5215,0.05817698766967941,0.09554941485806166,0.5467727712646542,0.10137203330078604,0.04507754069315867,0.024640949953592988,0.12841030226006708
BaselTMA_SP41_206_X1Y2_1390,0.0008926378072707396,0.007054622451056211,0.0040351115195633855,0.002007225315230882,0.046835848638725364,0.935784613442608,0.003389940825545339
BaselTMA_SP41_133_X3Y6_2298,0.02081663171083419,0.03346968606723002,0.02941089470080304,0.012806945938559692,0.8598978137798275,0.023111424625053265,0.02048660317769235
BaselTMA_SP41_134_X3Y8_1196,0.11684662418565955,0.145396020037466,0.47860492181252784,0.08945551970920791,0.03495209909179302,0.027199296821389395,0.10754551834195628
BaselTMA_SP41_11_X13Y7_3460,0.08156812626582342,0.12210689515888974,0.30852820554391264,0.20005992533334316,0.1141679740569259,0.05479604168521908,0.1187728319558861
BaselTMA_SP41_117_X13Y3_660,0.0028475641811242128,0.013899677578057204,0.00949513710356024,0.005132227335442771,0.08585515868359284,0.8735860200168283,0.009184215101394243
BaselTMA_SP41_159_X12Y4_2161,0.19238491680689707,0.18449130672830574,0.2596701023120712,0.23820089230405933,0.01529043431497687,0.014349659224163643,0.0956126883095261
BaselTMA_SP41_134_X3Y8_176,0.13782508860244305,0.1342254724123683,0.17662883525781448,0.42053607198843335,0.02080680233609837,0.011301570199480753,0.09867615920336173
BaselTMA_SP41_204_X16Y4_237_233,0.20142754678215946,0.155379036612171,0.21042768079130073,0.2531823276857317,0.03499464047553368,0.036353082247033035,0.10823568540607048
BaselTMA_SP41_11_X13Y7_3290,0.033237781264252364,0.07374334138020575,0.09951981819440348,0.07336573199768877,0.28581703726686153,0.36715699869315027,0.06715929120343782
BaselTMA_SP41_204_X16Y4_237_8,0.014469207289105748,0.04394390752537082,0.05742302837793606,0.034440675641011484,0.2144947909122932,0.599201913396813,0.0360264768574697
BaselTMA_SP41_134_X3Y8_234,0.08750730425489911,0.12993033964134618,0.605701340853737,0.061791712723366546,0.009086795923241065,0.008874301047794114,0.0971082055556161
BaselTMA_SP41_11_X13Y7_1243,0.020687918935066805,0.061337400399588904,0.07460406266171407,0.03764703382979531,0.26284040503313955,0.4989830504066894,0.043900128734006075
