,cell_type
BaselTMA_SP41_186_X5Y4_3679,Unknown
BaselTMA_SP41_153_X7Y5_246,Unknown
BaselTMA_SP41_20_X12Y5_197,Unknown
BaselTMA_SP41_14_X1Y8_84,Unknown
BaselTMA_SP41_166_X15Y4_266,Unknown
BaselTMA_SP41_117_X13Y3_4413,Unknown
BaselTMA_SP41_133_X3Y6_1249,Unknown
BaselTMA_SP41_206_X2Y2_140,Unknown
BaselTMA_SP41_112_X5Y8_690,Unknown
BaselTMA_SP41_134_X3Y8_449,Unknown
BaselTMA_SP41_133_X3Y6_1318,Unknown
BaselTMA_SP41_117_X13Y3_2100,Unknown
BaselTMA_SP41_211_X4Y6_2201,Unknown
BaselTMA_SP41_203_X8Y8_1760,Unknown
BaselTMA_SP41_141_X11Y2_5273,Unknown
BaselTMA_SP41_14_X1Y8_930,Unknown
BaselTMA_SP41_191_X15Y7_1306,Unknown
BaselTMA_SP41_186_X5Y4_1592,Unknown
BaselTMA_SP41_141_X11Y2_5215,Unknown
BaselTMA_SP41_206_X1Y2_1390,Unknown
BaselTMA_SP41_133_X3Y6_2298,Unknown
BaselTMA_SP41_134_X3Y8_1196,Unknown
BaselTMA_SP41_11_X13Y7_3460,Unknown
BaselTMA_SP41_117_X13Y3_660,Unknown
BaselTMA_SP41_159_X12Y4_2161,Unknown
BaselTMA_SP41_134_X3Y8_176,Unknown
BaselTMA_SP41_204_X16Y4_237_233,Unknown
BaselTMA_SP41_11_X13Y7_3290,Unknown
BaselTMA_SP41_204_X16Y4_237_8,Unknown
BaselTMA_SP41_134_X3Y8_234,Unknown
BaselTMA_SP41_11_X13Y7_1243,Unknown
BaselTMA_SP41_135_X8Y5_3127,Unknown
BaselTMA_SP41_11_X13Y7_3217,Unknown
BaselTMA_SP41_126_X14Y7_1746,Unknown
BaselTMA_SP41_18_X13Y5_762,Unknown
BaselTMA_SP41_203_X8Y8_527,Unknown
BaselTMA_SP41_134_X3Y8_880,Unknown
BaselTMA_SP41_14_X1Y8_2568,Unknown
BaselTMA_SP41_18_X13Y5_1219,Unknown
BaselTMA_SP41_11_X13Y7_2886,Unknown
BaselTMA_SP41_112_X5Y8_298,Unknown
BaselTMA_SP41_206_X1Y2_3026,Unknown
BaselTMA_SP41_135_X8Y5_430,Unknown
BaselTMA_SP41_100_X15Y5_2042,Unknown
BaselTMA_SP41_204_X16Y4_237_30,Unknown
BaselTMA_SP41_134_X3Y8_1748,Unknown
BaselTMA_SP41_186_X5Y4_1179,Unknown
BaselTMA_SP41_159_X12Y4_1391,Unknown
BaselTMA_SP41_135_X8Y5_2977,Unknown
BaselTMA_SP41_165_X5Y6_308,Unknown
BaselTMA_SP41_117_X13Y3_4099,Unknown
BaselTMA_SP41_117_X13Y3_1932,Unknown
BaselTMA_SP41_14_X1Y8_3119,Unknown
BaselTMA_SP41_165_X5Y6_1554,Unknown
BaselTMA_SP41_134_X3Y8_1549,Unknown
BaselTMA_SP41_177_X16Y5_130,Unknown
BaselTMA_SP41_126_X14Y7_1090,Unknown
BaselTMA_SP41_203_X8Y8_2049,Unknown
BaselTMA_SP41_204_X16Y4_238_343,Unknown
BaselTMA_SP41_206_X1Y2_3145,Unknown
BaselTMA_SP41_141_X11Y2_848,Unknown
BaselTMA_SP41_11_X13Y7_4100,Unknown
BaselTMA_SP41_101_X10Y8_1777,Unknown
BaselTMA_SP41_186_X5Y4_783,Unknown
BaselTMA_SP41_186_X5Y4_2069,Unknown
BaselTMA_SP41_141_X11Y2_2159,Unknown
BaselTMA_SP41_129_X7Y8_1460,Unknown
BaselTMA_SP41_11_X13Y7_4434,Unknown
BaselTMA_SP41_203_X8Y8_1690,Unknown
BaselTMA_SP41_191_X15Y7_3242,Unknown
BaselTMA_SP41_106_X2Y9_1894,Unknown
BaselTMA_SP41_112_X5Y8_1944,Unknown
BaselTMA_SP41_11_X13Y7_2486,Unknown
BaselTMA_SP41_100_X15Y5_2376,Unknown
BaselTMA_SP41_134_X3Y8_1484,Unknown
BaselTMA_SP41_14_X1Y8_978,Unknown
BaselTMA_SP41_203_X8Y8_2532,Unknown
BaselTMA_SP41_186_X5Y4_1448,Unknown
BaselTMA_SP41_133_X3Y6_3169,Unknown
BaselTMA_SP41_126_X14Y7_637,Unknown
BaselTMA_SP41_153_X7Y5_316,Unknown
BaselTMA_SP41_100_X15Y5_3182,Unknown
BaselTMA_SP41_104_X8Y4_175_1418,Unknown
BaselTMA_SP41_191_X15Y7_4,Unknown
BaselTMA_SP41_126_X14Y7_390,Unknown
BaselTMA_SP41_135_X8Y5_15,Unknown
BaselTMA_SP41_135_X8Y5_3269,Unknown
BaselTMA_SP41_186_X5Y4_2055,Unknown
BaselTMA_SP41_166_X15Y4_2203,Unknown
BaselTMA_SP41_100_X15Y5_1530,Unknown
BaselTMA_SP41_186_X6Y4_501,Unknown
BaselTMA_SP41_133_X3Y6_3842,Unknown
BaselTMA_SP41_14_X1Y8_294,Unknown
BaselTMA_SP41_101_X10Y8_1109,Unknown
BaselTMA_SP41_165_X5Y6_151,Unknown
BaselTMA_SP41_114_X13Y4_1057,Unknown
BaselTMA_SP41_141_X11Y2_2596,Unknown
BaselTMA_SP41_100_X15Y5_170,Unknown
BaselTMA_SP41_14_X1Y8_2604,Unknown
BaselTMA_SP41_186_X5Y4_81,Unknown
