"","EGFR","E-Cadherin","DNA1","DNA2","Rabbit IgG H L","GATA3","Histone H3 antibody 1","Ki-67","SMA","Vimentin","cleaved PARP","Cleaved Caspase3","Her2","p53","pan Cytokeratin","Cytokeratin 19","Progesterone Receptor A/B antibody 1","Progesterone Receptor A/B antibody 2","c-Myc","Fibronectin","Cytokeratin 14","Slug","CD20","vWF","CD31","Histone H3 antibody 2","Cytokeratin 5","CD44","CD45","CD68","CD3","Carbonic Anhydrase IX","Cytokeratin 8/18","Cytokeratin 7","Twist","phospho Histone","phospho mTOR","phospho S6"
"BaselTMA_SP43_115_X4Y8_1",0.283139717406975,0.800019412615373,2.52518589450716,3.17031005034697,0.0359076711886222,0.187518955111301,1.01063024499989,0.031793055976887,0.0556797141190634,0.0448269222137223,0.284251894723078,0.284251894723078,0.61313818238812,0,0.388408731772206,0.0767464691110055,0.130110463857457,0.130110463857457,0.0473207457412561,0.324533086856687,0.0460760860231082,0.0792354668134816,0.0421206004642228,0.0478151896081309,0.0478151896081309,0.351169603692317,0.113790322703706,2.24674960989573,0.00173477623366572,0.0426281562658106,0.0520439776232882,0.153152658815866,0.110529693379733,0.073571109422924,0.0855767499778222,0.21780411480739,0.214297466101564,0.291509884778701
"BaselTMA_SP43_115_X4Y8_2",0.112265807256831,0.972369287312691,2.12062014680131,2.80741393973602,0,0.17884644329218,1.19409751135726,0.0264224407030621,0.0863215604777333,0.0194236624667655,0.289962994602725,0.289962994602725,0.940249646590833,0.0268094818669409,0.567158581990248,0.0564874751947038,0.21010833563452,0.21010833563452,0.147010150011246,0.384033951343417,0.0590644873002164,0.0610813151894141,0,0,0,0.247274547919321,0.0988727942568087,2.10166332830746,0,0.08458055267645,0.0347696254027375,0.250157024463542,0.152824912789558,0.0192423611043399,0.0755571325739913,0.100226579747709,0.281590852423325,0.521711948537181
"BaselTMA_SP43_115_X4Y8_3",0.256235672979699,1.10899553575605,2.70217551120176,3.25483795808045,0,0.226826202062201,1.19337589069631,0,0.140515805315078,0.0409048258331489,0.118881676429948,0.118881676429948,0.628523684944979,0.022346673779925,0.849462084419138,0.126815176574891,0.236265426925593,0.236265426925593,0.0543641080712164,0.25683201978446,0.0262536660665949,0.0373889786314434,0.0182002721630262,0.0476282879926337,0.0476282879926337,0.527649962312025,0.165966202377975,1.9429281182119,0,0.0426281562658106,0.0785960899945663,0.100030848908041,0.253834797929048,0.310403736749612,0.0861625516635771,0.260402645724335,0.181471955104186,0.362514620339694
"BaselTMA_SP43_115_X4Y8_4",0.226698353750383,1.20482019838527,2.74379566535338,3.34593425625822,0,0.232314321731242,1.62848280912414,0.136358078324574,0.196821418976242,0.0938480475390299,0.118881676429948,0.118881676429948,0.530075805516473,0,0.418221509678244,0.0527569123358133,0.238596270123249,0.238596270123249,0.0636136559037928,0.661949556716534,0.0713819010782996,0.138534258512415,0,0,0,0.727874360688791,0.0224843193664147,2.42499891323576,0.0156817356651336,0.108294174025341,0.0187007092421133,0.195170156959283,0.0622747263212485,0.0936068411586552,0.107753582093801,0.328258406679772,0.345135658616974,0.404051163284423
"BaselTMA_SP43_115_X4Y8_5",0.285392075376679,1.22516113569978,2.74379566535338,3.34593425625822,0,0.203788233711421,1.79718886206912,0.0366860451159608,0.341489755379374,0,0.161007245630098,0.161007245630098,0.493991601620425,0.0672270368728821,0.296922604953271,0.238924223304777,0.172258176546461,0.172258176546461,0.250948389510214,0.623663820034728,0,0.150092025443508,0.0997887488352369,0.208626305397609,0.208626305397609,1.0876187609494,0.193626798446432,2.69654495038214,0.093230051541771,0.12246332112937,0.0737951431450226,0.2863386196981,0.125396823760105,0,0.193793877539121,0.350881350778536,0.410696147865377,0.464956077813151
"BaselTMA_SP43_115_X4Y8_6",0.335560619841248,1.72846444533249,1.58687838225382,2.10464090375017,0,0.219492513185941,1.06854978715,0.0594995834277546,0.0389895482683105,0.0764387156865151,0.3389298472062,0.3389298472062,1.29394789952063,0.0538847254556494,0.448029063713883,0.0938646335030536,0.285193838272314,0.285193838272314,0.0762265938353,0.555164909183365,0.0627653392774906,0,0.0339529301342291,0,0,0.183260078148232,0.054421254803216,3.60703402679012,0.029516190231589,0.12647825697246,0.0314298982870321,0.214519773083075,0.081946565323757,0.0407567099489313,0.0656052146196802,0.172613776428911,0.35138138505894,0.5497606110416
"BaselTMA_SP43_115_X4Y8_7",0.282647985650935,0.371433459132544,2.04070512533657,2.61002606301354,0.00870031488172107,0.0449727321165338,0.831588600473862,0.0256509909054138,0.105793774726735,1.23337352245977,0.240033635173857,0.240033635173857,0.418989897815629,0.0500717811690604,0.0448216504073772,0.0655861970196452,0.103786703124408,0.103786703124408,0.0618222415770114,0.505430019886992,0.0981323871908409,0.0891699140241706,0.00739917394534841,0.0663961096797315,0.0663961096797315,0.172526559723079,0.080323752871449,2.32025113778592,0.0963901529160709,0.161189890490287,0.0247710558686923,0.146823666636941,0.0361118069652405,0.0297437296748058,0.130796220594609,0.19451935069907,0.273316923504912,0.102410181176142
"BaselTMA_SP43_115_X4Y8_8",0.112265807256831,0.342497183857399,1.86580756814289,2.35293098782786,0.0254982650058634,0.00842901442055686,0.681095369407282,0,0.0340934135057714,0.585836963365888,0.164091042837769,0.164091042837769,0.197720938567351,0.0187164720930688,0.0213625444822545,0.0180979822561942,0.372585179439484,0.372585179439484,0.00463772313710863,0.340611898598261,0.0191365130280202,0.174561607661422,0.0347773549991778,0.0139379283913285,0.0139379283913285,0.146439833710797,0.0831760105113992,1.9429281182119,0.0578462196751412,0.0627501334070978,0.03696886215987,0.100030848908041,0.0166619481057038,0.0160174450826257,0.155239314157236,0.03053003522143,0.181471955104186,0.135600135750342
"BaselTMA_SP43_115_X4Y8_9",0.307580118109313,0.480393311487839,1.63187470603111,2.2228922431144,0.0774630742743474,0.129160654453452,1.07796093489318,0.0888052634029406,0.131293921978153,2.36048392228424,0.286295135737962,0.286295135737962,0.688871250632926,0.135682915470729,0.0786749631688442,0.0465248067245538,0.316770418282298,0.316770418282298,0.175504256326475,1.1358466559358,0.0382698493731599,0.123152346911293,0.187798096981985,0.148273165501809,0.148273165501809,0.146439833710797,0.0306204799698208,3.4710278560834,0.849791821703208,0.455893104566552,0.253796610779561,0.482956312324257,0.015528841358106,0,0.18218414435825,0.051614859446628,0.357905505639837,0.0993189146693805
"BaselTMA_SP43_115_X4Y8_10",0.293022414303518,0.345662618488167,1.36523890253473,1.90262064231999,0,0.147262761168322,1.24715042107967,0.0278720504037875,0.277984947729914,3.46943588597975,0.243432981362481,0.243432981362481,0.70447613420357,0.146140311358442,0.0705289154170312,0.079473248773842,0.344817096038998,0.344817096038998,0.12411022162499,1.06934999019169,0.0722164913795133,0.178328462174014,0.0505005300634981,0.106124586250853,0.106124586250853,0.34180642000525,0.120766123373493,3.6276337674431,0.667473302151778,0.328626188964696,0.233471614262945,0.430782289791749,0.0753154546315196,0,0.29031220706213,0.096276702685727,0.534539873250577,0.238681576225215
"BaselTMA_SP43_115_X4Y8_11",0.250156414503469,0.580634353793024,2.1136829410217,2.67010090124353,0.103846391831583,0.325833584921685,1.39668856168412,0.0841414978568981,0.300023667605693,2.0451694850878,0.224465179039593,0.224465179039593,0.484003613028224,0.0542755120894045,0.0141134241341254,0.0272435656565559,0.230178342282021,0.230178342282021,0.269715222706428,1.84303085391858,0.0775268448179613,0.153305590186209,0,0.0122358004848887,0.0122358004848887,0.485015378528423,0.0936707877950371,3.58698471440194,0.514860473862365,0.0779345455042848,0.38946948154254,0.223413568488269,0,0.0880751461900859,0.065846955606636,0.0915051919704846,0.454532864996932,0.0757163824613267
"BaselTMA_SP43_115_X4Y8_12",0.388016668047269,1.27478948320344,2.64829703262547,3.34593425625822,0,0.115548966797008,2.14614769674969,0.107737681799512,0.289563432395083,1.74355229628055,0.333476591897109,0.333476591897109,0.698847288078391,0.0977097590478977,0.509539071763988,0.152683136723805,0.171070269266952,0.171070269266952,0.0332907552076731,1.13686404858664,0.192479827756782,0,0.128600883908311,0.0887474138989651,0.0887474138989651,0.531216298836692,0.109358028442114,3.91855036150382,0.156305211682334,0.243247107517289,0.255800909758224,0.369479909376811,0,0.0125807296906646,0.177389637538148,0.318956920304883,0.4603044432817,0.557834068832511
"BaselTMA_SP43_115_X4Y8_13",0.154934593463589,1.63092971925334,2.72864401514489,3.26835145496828,0,0.208532885318533,2.17782067509193,0.244283208788171,0.10012672507316,0.287345575997319,0.118881676429948,0.118881676429948,1.64259104119603,0.216199621748904,0.724652569876102,0.280312514394602,0.650067617737061,0.650067617737061,0.314550664334536,0.612329311587804,0,0.0573038524309864,0.215795378839957,0.0232055744621687,0.0232055744621687,1.14167163013398,0.220991465565378,4.05138972444704,0,0.0773731672314739,0,0.701700854874722,0,0,0.492542324116683,0.0641494241871623,0.619357120628939,2.89738444003395
"BaselTMA_SP43_115_X4Y8_14",0.38902880976705,1.73157436460046,2.34340528697557,2.91153823954252,0.120691827492436,0.280672349193331,1.84693309358597,0.0664723954631343,0.167330703738942,0.503300084835125,0.360129965616537,0.360129965616537,1.24485394090695,0.075387907302352,0.862208275555685,0.177230291600157,0.296830305175691,0.296830305175691,0.297911682098597,0.530447487442674,0.0953170036470888,0.0720372694584682,0.0418454422670811,0.0684808957422939,0.0684808957422939,0.501422442703352,0.0938121122897123,4.11157732420928,0.0911197362035801,0.163426603175026,0.0205417948808132,0.487436789944531,0.129160212749687,0.0376509756747066,0.162115700219399,0.126095398995041,0.478434863021236,0.306877748438982
"BaselTMA_SP43_115_X4Y8_15",0.577948554981679,2.02946775641579,2.2673206015874,2.82378969371164,0.0587829294785784,0.454729839875137,2.01045540086524,0.0981891571002324,0.260413650994002,0.0469134492054849,0.270314125722481,0.270314125722481,1.26721471345787,0,1.53659836193902,0.155660618270804,0.323738144271724,0.323738144271724,0.400350511587781,0.391461301893311,0.107153322549531,0.0253947282252964,0.0298759633665948,0.0549876601303632,0.0549876601303632,0.3111910710672,0.205497699050919,3.43801330712019,0.227029613195227,0.149812310355112,0.0394001656862623,0.610064754918185,0.167474658171893,0.0897937702177348,0.0444569465145449,0.0122677434944284,0.748067827923449,0.463622339757278
